902	1800
-13.386687	77.970086	112.657921
-71.834066	51.821853	105.979432
-70.230145	23.368571	109.827756
-90.950523	-3.134196	93.402927
-78.857266	-31.079740	90.950961
-56.777321	-54.826846	99.871655
-38.941945	-86.610582	95.622047
-8.923791	-95.616485	100.570941
16.905319	-75.158896	106.385320
59.821064	-60.273467	110.832454
107.018417	-6.801228	90.624174
93.497658	29.193957	101.106909
69.229900	80.419796	90.374255
5.299132	93.129898	98.741354
-34.288824	102.820487	82.333374
-73.304639	93.544643	81.217541
-91.728153	57.182640	90.596102
-103.049548	43.395960	79.530912
-106.003211	10.871270	78.364524
-113.273396	12.239889	64.267505
-109.601147	-15.492477	57.738221
-89.936271	-43.474877	69.313547
-79.994716	-66.818800	63.978512
-50.932815	-85.938570	81.589264
-36.148178	-99.100758	80.535855
-6.596426	-111.937649	78.064309
8.356598	-107.219843	85.170102
51.936637	-99.351581	79.894731
76.754246	-74.922104	100.388746
106.760667	-49.451408	93.429402
125.068339	14.209821	57.438942
115.573551	29.240598	69.417033
109.900858	70.812288	53.994840
79.210368	85.672920	65.158267
50.136941	109.858866	54.021361
0.059735	116.397535	63.797702
-25.605938	125.804140	49.279042
-63.244504	120.221903	53.280670
-75.152475	103.493349	66.907896
-91.064907	95.298651	58.380499
-101.628990	72.604869	62.510588
-113.968758	66.559516	46.523499
-122.425182	39.239562	50.322177
-128.905347	36.783382	34.226836
-127.483216	12.917367	36.614275
-117.963906	-13.790713	45.979177
-107.420091	-40.531464	46.037869
-89.785149	-64.556723	51.895202
-75.433663	-84.303576	47.629321
-50.871646	-99.516279	58.697131
-26.493130	-111.131078	46.045065
5.556531	-119.063877	40.698617
11.461504	-120.212133	50.312063
49.120922	-115.337094	40.072900
75.302066	-99.774684	62.562864
115.243541	-79.046415	63.895831
122.338815	-53.814158	73.947420
130.994024	-28.070937	58.457323
137.369437	4.140813	15.135693
132.128746	39.793578	27.383692
116.973033	72.571035	6.958594
104.535245	87.626434	22.131815
79.956751	107.796149	-2.955648
58.623661	117.734103	17.818574
29.017912	131.188136	1.973361
-6.772812	134.055685	23.950396
-26.983844	140.929249	11.748488
-55.963346	136.720761	16.096777
-73.842661	124.608520	32.797341
-83.363454	120.834218	18.215752
-90.795175	108.259707	30.803401
-99.209816	99.494737	12.695435
-112.757318	79.108573	23.702651
-123.876789	55.673032	3.682225
-131.243805	40.509365	9.762852
-133.558387	29.250218	-3.039188
-134.233302	24.304181	5.303613
-130.525982	10.680233	21.361151
-120.788662	-19.421280	21.932651
-106.884515	-44.930607	38.356455
-89.868955	-70.567660	37.153966
-76.014394	-86.270977	39.756559
-58.267614	-100.621790	26.277026
-32.969344	-110.415087	22.974948
-11.894217	-115.193642	14.024789
8.767768	-118.714796	17.770958
20.420330	-121.382854	20.895973
37.565309	-116.900814	13.338181
60.636641	-109.903643	23.868302
88.511749	-93.102453	21.721527
117.108068	-78.614558	38.409240
129.647985	-58.698175	15.234896
136.911096	-35.711447	26.690972
135.771018	-28.146572	13.102558
135.195859	4.584225	-6.816062
123.264936	30.600072	-31.609326
108.949902	61.907321	-29.406829
76.931401	66.417380	-45.814124
61.300415	97.115021	-34.966496
39.298713	99.695458	-47.914925
28.893689	123.988971	-32.079346
7.982280	131.549566	-30.523228
-13.715555	145.090916	-8.274630
-41.696445	141.989685	-3.756273
-42.658190	139.976312	-18.816291
-66.836762	130.913785	-12.418025
-71.962225	117.186799	-19.995095
-97.330032	98.934650	-6.815541
-110.064014	80.740005	-14.035351
-122.232176	57.732336	-14.912195
-127.834181	32.679649	-24.745564
-131.995810	19.534786	-18.068377
-132.707429	14.557910	-10.222568
-127.700396	2.451839	-21.052801
-119.779729	-17.463795	-3.976781
-106.489584	-39.070180	-5.288560
-90.799596	-67.668222	20.129075
-77.697232	-81.175261	12.126455
-58.882957	-98.684043	15.239740
-34.434365	-104.975813	-2.290231
-12.244671	-111.984756	1.244630
8.445606	-115.152645	4.446483
19.431314	-110.276007	-13.133975
37.090376	-109.531442	-6.332422
54.780370	-97.236012	-19.220241
82.343496	-87.531643	-2.439597
103.425354	-63.080512	-16.295680
122.721674	-48.135240	-15.210748
128.325012	-23.229987	-26.433150
133.602843	-26.359428	-8.490407
116.249339	11.690086	-44.937443
91.536653	21.112649	-62.201545
66.594353	45.491035	-64.308876
40.209417	59.823235	-69.749494
28.568944	83.176782	-63.333960
7.239774	98.545347	-61.556100
-2.961657	122.142471	-44.458703
-23.680102	133.761636	-37.662640
-25.652647	111.757315	-52.834437
-49.999739	103.249845	-41.646233
-71.043399	74.296296	-48.078032
-105.063892	69.977120	-33.082666
-111.833662	39.880864	-43.947158
-121.628016	25.196079	-34.542828
-120.645428	1.264619	-39.379409
-106.684263	-8.304451	-53.143491
-101.043506	-27.498550	-35.746360
-85.747644	-42.742796	-38.337257
-78.704951	-68.523340	-14.895166
-62.104696	-78.896601	-28.274698
-36.525942	-97.404988	-19.427884
-3.581178	-100.048776	-32.916202
7.347364	-94.261271	-44.720325
47.100067	-92.931729	-37.171806
63.427143	-83.932264	-38.804510
91.551373	-63.219084	-34.208190
104.966420	-35.930648	-45.211931
122.770540	-10.103300	-38.049077
82.529637	6.005116	-75.274446
58.529820	13.680907	-87.807563
40.427183	43.784893	-79.222050
20.735956	58.793853	-74.944455
-1.142790	90.386136	-64.455638
-14.448617	92.166742	-62.756342
-25.183320	73.511928	-68.676219
